,loss
0,3.4934213161468506
1,1.483961820602417
2,0.6714815497398376
3,0.4588525593280792
4,0.36012259125709534
5,0.23439094424247742
6,0.11877980828285217
7,0.02992831915616989
8,-0.045228637754917145
9,-0.10516967624425888
10,-0.14855070412158966
11,-0.18040086328983307
12,-0.198983296751976
13,-0.2117847055196762
14,-0.21843332052230835
15,-0.22254328429698944
16,-0.2208275943994522
17,-0.22328723967075348
18,-0.22364306449890137
19,-0.21610264480113983
20,-0.22551676630973816
21,-0.2207345813512802
22,-0.22459855675697327
23,-0.22499975562095642
24,-0.22228029370307922
25,-0.22536364197731018
26,-0.2260245680809021
27,-0.22586525976657867
28,-0.22643956542015076
29,-0.22660674154758453
30,-0.2258077710866928
31,-0.22655920684337616
32,-0.2264428287744522
33,-0.22740499675273895
34,-0.2272113561630249
35,-0.2265479862689972
36,-0.22633428871631622
37,-0.2270859181880951
38,-0.2278755009174347
39,-0.22650504112243652
40,-0.22467374801635742
41,-0.22324450314044952
42,-0.22680960595607758
43,-0.22780728340148926
44,-0.22643813490867615
45,-0.22521370649337769
46,-0.22956973314285278
47,-0.21751612424850464
48,-0.23244772851467133
49,-0.2230057269334793
50,-0.22281675040721893
51,-0.22295942902565002
52,-0.22943834960460663
53,-0.23012866079807281
54,-0.23176729679107666
55,-0.2311893105506897
56,-0.2301495373249054
57,-0.23216909170150757
58,-0.2309769093990326
59,-0.23124422132968903
60,-0.23194721341133118
61,-0.22971400618553162
62,-0.23043376207351685
63,-0.23307034373283386
64,-0.23518598079681396
65,-0.23125916719436646
66,-0.22629611194133759
67,-0.22598259150981903
68,-0.23178859055042267
69,-0.23385730385780334
70,-0.23487700521945953
71,-0.23586714267730713
72,-0.23593895137310028
73,-0.23693495988845825
74,-0.23533084988594055
75,-0.23620820045471191
76,-0.23421019315719604
77,-0.23151454329490662
78,-0.23785041272640228
79,-0.2328123301267624
80,-0.23104028403759003
81,-0.2394074648618698
82,-0.24071617424488068
83,-0.22628292441368103
84,-0.24059619009494781
85,-0.23902627825737
86,-0.23659701645374298
87,-0.23805126547813416
88,-0.24144598841667175
89,-0.24042809009552002
90,-0.24076953530311584
91,-0.23362097144126892
92,-0.22526785731315613
93,-0.24696876108646393
94,-0.23650676012039185
95,-0.24327455461025238
96,-0.24316531419754028
97,-0.24320507049560547
98,-0.2457467019557953
99,-0.24327245354652405
100,-0.24425159394741058
101,-0.23546603322029114
102,-0.23548227548599243
103,-0.243212029337883
104,-0.24381154775619507
105,-0.24356622993946075
106,-0.2482234686613083
107,-0.24976091086864471
108,-0.2511082887649536
109,-0.25062382221221924
110,-0.2514881491661072
111,-0.25143593549728394
112,-0.24727265536785126
113,-0.24902547895908356
114,-0.2539457380771637
115,-0.25368955731391907
116,-0.25079792737960815
117,-0.25219523906707764
118,-0.2561289668083191
119,-0.25415635108947754
120,-0.25646644830703735
121,-0.2566584646701813
122,-0.25509288907051086
123,-0.252334326505661
124,-0.25543704628944397
125,-0.25657200813293457
126,-0.25637686252593994
127,-0.26157066226005554
128,-0.2589244246482849
129,-0.26006218791007996
130,-0.25199538469314575
131,-0.25203031301498413
132,-0.26610615849494934
133,-0.2630963921546936
134,-0.26737356185913086
135,-0.25902485847473145
136,-0.264644056558609
137,-0.265030175447464
138,-0.2618368864059448
139,-0.271662175655365
140,-0.26474228501319885
141,-0.27329787611961365
142,-0.26841652393341064
143,-0.2748308479785919
144,-0.27678823471069336
145,-0.2662845849990845
146,-0.2815762758255005
147,-0.2776988744735718
148,-0.27777349948883057
149,-0.28053364157676697
150,-0.28360694646835327
151,-0.28536438941955566
152,-0.28706178069114685
153,-0.28374701738357544
154,-0.28299424052238464
155,-0.29022225737571716
156,-0.29385438561439514
157,-0.27783840894699097
158,-0.2915534973144531
159,-0.2952394485473633
160,-0.2967985272407532
161,-0.2985881567001343
162,-0.2995755970478058
163,-0.3012063801288605
164,-0.3006509244441986
165,-0.2889387309551239
166,-0.30442216992378235
167,-0.30859246850013733
168,-0.31136053800582886
169,-0.31349748373031616
170,-0.31311163306236267
171,-0.3150055706501007
172,-0.31822335720062256
173,-0.3135993182659149
174,-0.3266119062900543
175,-0.3192811906337738
176,-0.3285643756389618
177,-0.3217965066432953
178,-0.333423376083374
179,-0.33388400077819824
180,-0.3390709161758423
181,-0.3415561020374298
182,-0.337387353181839
183,-0.33876630663871765
184,-0.33971160650253296
185,-0.34408488869667053
186,-0.35265421867370605
187,-0.3555707335472107
188,-0.34814023971557617
189,-0.365420401096344
190,-0.36824876070022583
191,-0.36903613805770874
192,-0.37164783477783203
193,-0.3721468150615692
194,-0.3812462091445923
195,-0.3835737407207489
196,-0.38650161027908325
197,-0.387297123670578
198,-0.3904866576194763
199,-0.39442145824432373
200,-0.39751994609832764
201,-0.3982899487018585
202,-0.3999025821685791
203,-0.39392414689064026
204,-0.4002867341041565
205,-0.4155257046222687
206,-0.4151390492916107
207,-0.4155382812023163
208,-0.4218861758708954
209,-0.42326563596725464
210,-0.4254436492919922
211,-0.4305267333984375
212,-0.43083664774894714
213,-0.43227797746658325
214,-0.437351793050766
215,-0.43401870131492615
216,-0.4416484534740448
217,-0.44452908635139465
218,-0.44563722610473633
219,-0.4512002468109131
220,-0.4521476626396179
221,-0.45265963673591614
222,-0.45204973220825195
223,-0.46052470803260803
224,-0.459479957818985
225,-0.4639006555080414
226,-0.4670819938182831
227,-0.4686643183231354
228,-0.47044116258621216
229,-0.4687816798686981
230,-0.46950218081474304
231,-0.47724929451942444
232,-0.4784459173679352
233,-0.4790627956390381
234,-0.48106813430786133
235,-0.48044317960739136
236,-0.48505082726478577
237,-0.49070411920547485
238,-0.48885899782180786
239,-0.48814594745635986
240,-0.49491646885871887
241,-0.49637895822525024
242,-0.49649935960769653
243,-0.5008204579353333
244,-0.5032626390457153
245,-0.5065940022468567
246,-0.5082333087921143
247,-0.5069383978843689
248,-0.5105989575386047
249,-0.5138762593269348
250,-0.5159385204315186
251,-0.5131741166114807
252,-0.5197551250457764
253,-0.518060564994812
254,-0.5205920338630676
255,-0.5238431096076965
256,-0.5268750786781311
257,-0.5272826552391052
258,-0.531566321849823
259,-0.5322390198707581
260,-0.5335344076156616
261,-0.5327004194259644
262,-0.5372037291526794
263,-0.5340999960899353
264,-0.5397014021873474
265,-0.5423312783241272
266,-0.5447889566421509
267,-0.5455251932144165
268,-0.5471492409706116
269,-0.5494728684425354
270,-0.5498559474945068
271,-0.5470587611198425
272,-0.5535140037536621
273,-0.5553247928619385
274,-0.5559256076812744
275,-0.5587921738624573
276,-0.559718668460846
277,-0.5585493445396423
278,-0.5591108798980713
279,-0.5642349720001221
280,-0.565402090549469
281,-0.5662895441055298
282,-0.5679564476013184
283,-0.5678566098213196
284,-0.5715298056602478
285,-0.5698246955871582
286,-0.5708584785461426
287,-0.5728440284729004
288,-0.5740684270858765
289,-0.575412392616272
290,-0.5740981698036194
291,-0.5701143145561218
292,-0.5797020196914673
293,-0.579667329788208
294,-0.5792204141616821
295,-0.5798431038856506
296,-0.5822893381118774
297,-0.5824317336082458
298,-0.5850792527198792
299,-0.5862701535224915
300,-0.5860804319381714
301,-0.5863289833068848
302,-0.5862227082252502
303,-0.5884712934494019
304,-0.5854602456092834
305,-0.5911502242088318
306,-0.5923422574996948
307,-0.5910255312919617
308,-0.5912333726882935
309,-0.59437495470047
310,-0.5931088328361511
311,-0.5959352254867554
312,-0.5957518815994263
313,-0.5936546921730042
314,-0.5974254012107849
315,-0.5955290794372559
316,-0.5986404418945312
317,-0.596846878528595
318,-0.5993544459342957
319,-0.6000600457191467
320,-0.6004490852355957
321,-0.5998314023017883
322,-0.6022089123725891
323,-0.6002394556999207
324,-0.6032694578170776
325,-0.5992430448532104
326,-0.6039591431617737
327,-0.6031000018119812
328,-0.6055783629417419
329,-0.6050543189048767
330,-0.606364905834198
331,-0.606905460357666
332,-0.6063872575759888
333,-0.6069175601005554
334,-0.6080886125564575
335,-0.6084327697753906
336,-0.6059696078300476
337,-0.6090266108512878
338,-0.608489453792572
339,-0.610375702381134
340,-0.6103013753890991
341,-0.6046927571296692
342,-0.6103894710540771
343,-0.6119095683097839
344,-0.6104483604431152
345,-0.6121949553489685
346,-0.6125466227531433
347,-0.6124980449676514
348,-0.6124148964881897
349,-0.6139061450958252
350,-0.6118592619895935
351,-0.6099153161048889
352,-0.6161303520202637
353,-0.6144201159477234
354,-0.6165266036987305
355,-0.6150987148284912
356,-0.6137256026268005
357,-0.6165273189544678
358,-0.6159719228744507
359,-0.6176766753196716
360,-0.6143700480461121
361,-0.6184207797050476
362,-0.6180797219276428
363,-0.6184861063957214
364,-0.6191608905792236
365,-0.6191533207893372
366,-0.6206762790679932
367,-0.6203066110610962
368,-0.6206111907958984
369,-0.6209774017333984
370,-0.6168694496154785
371,-0.6228259801864624
372,-0.62053382396698
373,-0.6229805946350098
374,-0.6206645965576172
375,-0.6226953864097595
376,-0.6192676424980164
377,-0.6244783997535706
378,-0.6234318614006042
379,-0.6254872679710388
380,-0.6244405508041382
381,-0.6255787014961243
382,-0.621700644493103
383,-0.6267618536949158
384,-0.6266069412231445
385,-0.6270948052406311
386,-0.6276962161064148
387,-0.6267412900924683
388,-0.6283926963806152
389,-0.6296852231025696
390,-0.6222689747810364
391,-0.6240851283073425
392,-0.6257511973381042
393,-0.6311952471733093
394,-0.6295803189277649
395,-0.6287428140640259
396,-0.6254994869232178
397,-0.6297441720962524
398,-0.631406843662262
399,-0.6307045221328735
400,-0.6334221363067627
401,-0.6341286301612854
402,-0.634240984916687
403,-0.6343033313751221
404,-0.6343706846237183
405,-0.6362382769584656
406,-0.6356187462806702
407,-0.6374714374542236
408,-0.6372376680374146
409,-0.6378383040428162
410,-0.6348676681518555
411,-0.6386855840682983
412,-0.63738614320755
413,-0.6383053064346313
414,-0.6394989490509033
415,-0.6431705355644226
416,-0.6408401131629944
417,-0.6408926844596863
418,-0.6436527371406555
419,-0.6426776647567749
420,-0.6392831802368164
421,-0.640642523765564
422,-0.6410924196243286
423,-0.6436730027198792
424,-0.6452844142913818
425,-0.6475737690925598
426,-0.6460035443305969
427,-0.6460364460945129
428,-0.6503918766975403
429,-0.6503949761390686
430,-0.6510252356529236
431,-0.6530296802520752
432,-0.6512545347213745
433,-0.6553726196289062
434,-0.6537191271781921
435,-0.6569687724113464
436,-0.6563938856124878
437,-0.6576539874076843
438,-0.6579602360725403
439,-0.659939169883728
440,-0.6600887179374695
441,-0.6619142293930054
442,-0.6617738604545593
443,-0.6618084907531738
444,-0.6631405353546143
445,-0.6635268330574036
446,-0.6632713675498962
447,-0.6653773188591003
448,-0.6683223843574524
449,-0.6673706769943237
450,-0.6680959463119507
451,-0.6686588525772095
452,-0.6692095994949341
453,-0.6743995547294617
454,-0.6737546324729919
455,-0.6734925508499146
456,-0.6765950918197632
457,-0.6741020083427429
458,-0.6794136166572571
459,-0.6762539744377136
460,-0.6811493039131165
461,-0.6813326478004456
462,-0.6824971437454224
463,-0.684351921081543
464,-0.6855889558792114
465,-0.6853192448616028
466,-0.6863312125205994
467,-0.6863921284675598
468,-0.6882150173187256
469,-0.6914050579071045
470,-0.6905081868171692
471,-0.691593587398529
472,-0.6930499076843262
473,-0.6931630969047546
474,-0.6941536664962769
475,-0.695173442363739
476,-0.6963263750076294
477,-0.6992316246032715
478,-0.6939238905906677
479,-0.6937628388404846
480,-0.6995909810066223
481,-0.6999332904815674
482,-0.700323224067688
483,-0.7022600173950195
484,-0.7033780217170715
485,-0.7039483189582825
486,-0.7042423486709595
487,-0.7052563428878784
488,-0.7055765986442566
489,-0.7066496014595032
490,-0.704842746257782
491,-0.7087244391441345
492,-0.7054895758628845
493,-0.7061657309532166
494,-0.7104306817054749
495,-0.7058661580085754
496,-0.7119912505149841
497,-0.7104488611221313
498,-0.7121787071228027
499,-0.7125504016876221
500,-0.7135218977928162
501,-0.7125081419944763
